#1
# Data Source: Simbench Dataset
# type: measured profile
# load profile: G3-A
# source: Simbench
# scaling: P = 225.7 kW Q = 89.1 kVAr
# timezone: UTC
float p_q(35136,3)
173700 0.35291 0.194631 
174600 0.35291 0.241342 
175500 0.344482 0.190569 
176400 0.377926 0.236942 
177300 0.35786 0.203093 
178200 0.322809 0.194631 
179100 0.446555 0.317502 
180000 0.424749 0.15672 
180900 0.384615 0.190569 
181800 0.41806 0.203093 
182700 0.384615 0.177707 
183600 0.31612 0.118471 
184500 0.347826 0.245404 
185400 0.317726 0.190569 
186300 0.341137 0.270791 
187200 0.344482 0.266729 
188100 0.337793 0.253866 
189000 0.317726 0.199031 
189900 0.354515 0.236942 
190800 0.314381 0.203093 
191700 0.29097 0.169244 
192600 0.317726 0.249805 
193500 0.274247 0.139796 
194400 0.334448 0.211555 
195300 0.364548 0.169244 
196200 0.374582 0.148258 
197100 0.423144 0.23288 
198000 0.367893 0.143858 
198900 0.384615 0.199031 
199800 0.414716 0.23288 
200700 0.397993 0.207494 
201600 0.372977 0.126933 
202500 0.393043 0.249805 
203400 0.332843 0.143858 
204300 0.331104 0.148258 
205200 0.399732 0.266729 
206100 0.359599 0.173645 
207000 0.389699 0.241342 
207900 0.351171 0.211555 
208800 0.35786 0.211555 
209700 0.367893 0.23288 
210600 0.347826 0.203093 
211500 0.347826 0.177707 
212400 0.361204 0.215956 
213300 0.349565 0.203093 
214200 0.38301 0.241342 
215100 0.379666 0.220018 
216000 0.346221 0.186169 
216900 0.394649 0.292116 
217800 0.339532 0.173645 
218700 0.364548 0.224418 
219600 0.419799 0.236942 
220500 0.38301 0.220018 
221400 0.366288 0.224418 
222300 0.414716 0.300578 
223200 0.351171 0.207494 
224100 0.347826 0.236942 
225000 0.322809 0.169244 
225900 0.334448 0.190569 
226800 0.319465 0.177707 
227700 0.369632 0.215956 
228600 0.393043 0.220018 
229500 0.379666 0.22848 
230400 0.397993 0.266729 
231300 0.394649 0.236942 
232200 0.414716 0.275191 
233100 0.367893 0.194631 
234000 0.364548 0.165182 
234900 0.453244 0.283653 
235800 0.408027 0.211555 
236700 0.406421 0.266729 
237600 0.403077 0.258267 
238500 0.381271 0.224418 
239400 0.377926 0.220018 
240300 0.397993 0.22848 
241200 0.401338 0.165182 
242100 0.408027 0.258267 
243000 0.369632 0.186169 
243900 0.369632 0.207494 
244800 0.393043 0.249805 
245700 0.377926 0.220018 
246600 0.356254 0.169244 
247500 0.406421 0.262329 
248400 0.347826 0.169244 
249300 0.361204 0.177707 
250200 0.381271 0.241342 
251100 0.344482 0.15672 
252000 0.372977 0.220018 
252900 0.364548 0.236942 
253800 0.31612 0.15232 
254700 0.35291 0.23288 
255600 0.416455 0.220018 
256500 0.336187 0.190569 
257400 0.277592 0.169244 
258300 0.306087 0.224418 
259200 0.301003 0.169244 
260100 0.341137 0.245404 
261000 0.332843 0.15232 
261900 0.331104 0.177707 
262800 0.371237 0.194631 
263700 0.339532 0.236942 
264600 0.314381 0.203093 
265500 0.336187 0.249805 
266400 0.292709 0.160782 
267300 0.401338 0.165182 
268200 0.376321 0.160782 
269100 0.314381 0.15232 
270000 0.296054 0.101547 
270900 0.314381 0.160782 
271800 0.306087 0.182107 
272700 0.326154 0.182107 
273600 0.327759 0.258267 
