#1																		
# Stochastic profile for distance of vehicle driven, created with the LoadProfileGenerator https://github.com/loadprofilegenerator/LoadProfileGenerator 																		
# profiles correspond to different family homes with varying commuting distances																		
# even columns correspond to distance data, odd colums to location																		
# numbers in location column indicate where the vehicle is plugged in for charging: 0: not plugged, 1: home, 2: work, 3: public, 4: fast, 5: superfast																		
# ID			IN03_37_20		IN03_110_30		IN05_220_25		IN05_110_10		IN20_110_15		IN20_220_25		IN21_110_5	IN31_330_30		
# km/year	17484.78		30608.076		17816.448		15731.82		14323.476		18961.848		10877.316		84.195			
																		
double	default(35040,17)																	
61200	0	1	7968	0	0	3	0	3	0	3	0	3	0	3	0	1		
62100	0	1	14940	0	0	3	0	3	0	3	9960	0	7968	0	0	1		
63000	0	1	14940	0	0	3	0	3	0	3	996	0	0	1	0	1		
63900	0	1	7968	0	0	3	0	3	0	3	0	1	0	1	0	1		
64800	0	1	0	3	0	3	0	3	0	3	0	1	0	1	0	1		
65700	0	1	0	3	0	3	0	3	0	3	0	1	0	1	0	1		
66600	0	1	0	3	10956	0	0	3	3984	0	0	1	0	1	0	1		
67500	0	1	0	3	3984	0	0	3	3984	0	0	1	0	1	0	1		
68400	0	1	0	3	6972	0	0	3	0	1	0	1	0	1	0	1		
69300	0	1	0	3	0	3	0	3	0	1	0	1	0	1	0	1		
70200	0	1	0	3	0	3	0	3	0	1	0	1	0	1	0	1		
71100	996	0	0	3	0	3	0	3	0	1	0	1	0	1	0	1		
72000	9960	0	0	3	0	3	0	3	0	1	0	1	0	1	0	1		
72900	0	3	0	3	0	3	0	3	0	1	0	1	0	1	0	1		
73800	0	3	0	3	0	3	0	3	0	1	0	1	0	1	0	1		
74700	0	3	0	3	0	3	0	3	0	1	0	1	0	1	0	1		
75600	0	3	0	3	0	3	5976	0	0	1	0	1	0	1	0	1		
76500	0	3	0	3	0	3	14940	0	0	1	0	1	0	1	0	1		
77400	0	3	0	3	10956	0	14940	0	0	1	0	1	0	1	0	1		
78300	0	3	1992	0	0	1	9960	0	0	1	0	1	0	1	0	1		
79200	0	3	14940	0	0	1	0	1	0	1	0	1	0	1	0	1		
