#1
# Source: DWD Weather data, ieet, TUHH (DWD COSMO-D2)
# Location: latitude 52.1, longitude 9.35
# Year: 2019
# Data type: Temp
Forecast at 6h for 9h to 9h of following day
float	default(8760, 2)
1515600	274.125
1519200	273.918
1522800	273.485
1526400	273.226
1530000	272.804
1533600	272.617
1537200	272.513
1540800	272.119
1544400	271.856
1548000	271.702
1551600	270.993
1555200	270.643
1558800	270.341
1562400	270.204
1566000	270.3
1569600	270.375
1573200	270.526
1576800	270.681
1580400	270.71
1584000	270.798
1587600	271.238
1591200	272.086
1594800	272.774
1598400	273.476
1602000	273.595
1605600	273.399
1609200	273.211
1612800	272.758
1616400	272.367
1620000	272.0
1623600	271.452
1627200	270.896
1630800	270.728
1634400	270.487
1638000	270.229
1641600	269.991
1645200	269.602
1648800	269.263
1652400	268.991
1656000	268.711
1659600	268.447
1663200	268.232
1666800	268.031
1670400	267.826
1674000	269.503
1677600	270.346
1681200	271.149
1684800	271.778
1688400	272.209
1692000	272.311
1695600	271.74
1699200	270.702
1702800	269.972
1706400	269.381
1710000	269.015
1713600	268.769
1717200	268.521
1720800	268.323
1724400	268.133
1728000	267.855
1731600	267.565
1735200	267.353
1738800	266.99
1742400	266.762
1746000	266.982
1749600	266.618
1753200	266.465
1756800	266.428
1760400	268.161
1764000	268.778
1767600	269.75
1771200	270.727
1774800	272.076
1778400	272.14
1782000	271.466
1785600	270.468
1789200	269.697
1792800	269.332
1796400	269.149
1800000	269.157
1803600	269.434
1807200	269.483
1810800	269.505
1814400	269.655
1818000	269.333
1821600	269.129
1825200	268.496
1828800	268.224
1832400	268.093
1836000	267.924
1839600	267.944
1843200	268.075
1846800	268.719
1850400	269.65
1854000	270.83
1857600	271.454
1861200	271.768
1864800	271.7
1868400	271.461
1872000	270.824
1875600	270.164
1879200	269.822
1882800	269.389
1886400	269.068
1890000	268.714
1893600	268.441
1897200	268.113
1900800	267.914
1904400	267.675
1908000	267.511
1911600	267.327
1915200	267.166
1918800	267.359
1922400	267.293
1926000	266.846
1929600	266.931
1933200	267.924
1936800	269.195
1940400	270.416
1944000	271.138
1947600	271.339
1951200	271.574
1954800	270.805
1958400	270.107
1962000	269.491
1965600	268.91
1969200	268.298
1972800	268.016
1976400	267.4
1980000	267.804
1983600	267.477
1987200	267.145
1990800	267.002
1994400	266.963
1998000	267.026
2001600	267.113
2005200	267.137
2008800	267.18
2012400	266.903
2016000	266.841
2019600	268.851
2023200	269.534
2026800	269.911
2030400	270.227
2034000	270.622
2037600	270.919
2041200	270.462
2044800	270.374
2048400	270.545
2052000	270.18
2055600	270.197
2059200	270.277
2062800	270.022
2066400	269.914
2070000	269.863
2073600	269.918
2077200	269.958
2080800	269.939
2084400	269.97
2088000	270.011
2091600	270.034
2095200	269.969
2098800	269.649
2102400	269.386
2106000	269.819
2109600	270.359
2113200	270.973
2116800	271.39
2120400	271.768
2124000	271.455
2127600	271.515
2131200	271.521
2134800	271.653
2138400	271.807
2142000	272.047
2145600	271.942
2149200	272.263
2152800	272.486
2156400	273.947
2160000	273.784
2163600	273.922
2167200	273.999
2170800	273.933
2174400	274.33
2178000	275.051
2181600	275.915
2185200	276.817
2188800	277.4
2192400	275.494
2196000	276.414
2199600	276.941
2203200	276.676
2206800	276.477
2210400	276.459
2214000	276.541
2217600	276.654
2221200	276.9
2224800	277.23
2228400	277.149
2232000	276.944
2235600	276.241
2239200	276.131
2242800	276.432
2246400	276.385
2250000	276.231
2253600	276.158
2257200	276.132
2260800	276.244
2264400	276.276
2268000	276.206
2271600	276.158
2275200	276.248
2278800	276.657
2282400	277.088
2286000	277.556
2289600	278.004
2293200	278.309
2296800	278.363
2300400	278.045
2304000	277.713
2307600	277.479
2311200	277.168
2314800	276.933
2318400	276.875
2322000	276.274
2325600	275.538
2329200	275.161
2332800	275.117
2336400	274.601
2340000	274.901
2343600	274.747
2347200	274.598
2350800	274.219
2354400	274.38
2358000	274.356
2361600	274.444
2365200	274.981
2368800	274.874
2372400	274.873
2376000	274.978
2379600	274.606
2383200	275.072
2386800	275.247
2390400	275.072
2394000	273.97
2397600	273.418
2401200	273.236
2404800	273.23
2408400	273.23
2412000	273.287
2415600	273.468
2419200	273.69
2422800	273.478
2426400	273.052
2430000	272.487
2433600	273.162
2437200	273.38
2440800	273.186
2444400	273.367
2448000	273.382
2451600	273.883
2455200	274.263
2458800	275.012
2462400	274.662
2466000	275.546
2469600	275.814
2473200	275.08
2476800	274.068
2480400	273.57
2484000	273.498
2487600	273.337
2491200	272.965
2494800	272.707
2498400	272.509
2502000	272.397
2505600	272.279
2509200	272.108
2512800	271.71
2516400	271.664
2520000	271.659
2523600	271.703
2527200	271.507
2530800	271.862
2534400	272.162
2538000	272.495
2541600	273.066
2545200	274.132
2548800	274.255
2552400	273.773
2556000	273.736
2559600	273.898
2563200	273.677
2566800	273.762
2570400	273.839
2574000	273.723
2577600	273.518
2581200	273.385
2584800	273.327
2588400	273.525
2592000	273.42
2595600	273.474
2599200	273.42
2602800	273.414
2606400	273.561
2610000	273.587
2613600	273.566
2617200	273.318
2620800	272.548
2624400	273.518
2628000	273.746
2631600	274.304
2635200	274.738
2638800	274.862
2642400	274.829
2646000	274.093
2649600	273.706
2653200	273.733
2656800	273.571
2660400	273.449
2664000	273.218
2667600	273.207
2671200	273.272
2674800	272.921
2678400	272.558
2682000	272.309
2685600	271.814
2689200	271.753
2692800	271.951
2696400	272.224
2700000	272.396
2703600	272.636
2707200	272.595
2710800	273.025
2714400	273.295
2718000	274.026
2721600	275.144
2725200	275.039
2728800	274.919
2732400	274.641
2736000	274.067
2739600	273.717
2743200	273.694
2746800	273.614
2750400	273.49
2754000	273.23
2757600	273.103
2761200	273.286
2764800	273.317
2768400	273.316
2772000	273.272
2775600	273.395
2779200	273.427
2782800	273.25
2786400	273.383
2790000	273.176
2793600	273.025
2797200	273.339
2800800	273.391
2804400	273.367
2808000	273.3
2811600	273.266
2815200	273.189
2818800	273.249
2822400	273.207
2826000	273.196
2829600	273.141
2833200	273.215
2836800	273.236
2840400	273.324
2844000	273.278
2847600	273.272
2851200	273.252
2854800	273.284
2858400	273.3
2862000	273.295
2865600	273.279
2869200	273.243
2872800	273.209
2876400	273.241
2880000	273.081
2883600	273.091
2887200	273.488
2890800	274.283
2894400	274.585
2898000	275.096
2901600	275.025
2905200	274.783
2908800	274.114
2912400	273.791
2916000	273.406
2919600	272.974
2923200	272.982
2926800	272.343
2930400	272.152
2934000	272.021
2937600	271.598
2941200	270.603
2944800	270.853
2948400	270.702
2952000	270.787
2955600	271.096
2959200	270.97
2962800	271.235
2966400	271.108
2970000	271.395
2973600	272.516
2977200	274.29
2980800	274.866
2984400	275.052
2988000	274.958
2991600	274.572
2995200	274.164
2998800	274.042
3002400	274.045
3006000	274.004
3009600	273.942
3013200	273.992
3016800	273.836
3020400	273.711
3024000	273.679
3027600	273.646
3031200	273.747
3034800	274.065
3038400	274.053
3042000	274.07
3045600	273.986
3049200	273.872
3052800	273.825
3056400	274.987
3060000	275.481
3063600	275.678
3067200	276.147
3070800	276.118
3074400	276.497
3078000	276.352
3081600	276.11
3085200	275.83
3088800	275.462
3092400	275.19
3096000	274.524
3099600	274.122
3103200	274.049
3106800	273.976
3110400	273.721
3114000	273.524
3117600	273.49
3121200	273.319
3124800	273.568
3128400	273.431
3132000	273.259
3135600	273.216
3139200	273.261
3142800	274.171
3146400	275.307
3150000	276.479
3153600	277.498
3157200	277.969
3160800	277.58
3164400	277.0
3168000	276.508
3171600	276.117
3175200	276.087
3178800	276.244
3182400	275.805
3186000	275.184
3189600	274.486
3193200	274.359
3196800	274.685
3200400	275.194
3204000	274.817
3207600	274.701
3211200	274.922
3214800	274.955
3218400	275.235
3222000	275.191
3225600	275.431
3229200	275.803
3232800	276.002
3236400	276.511
3240000	277.559
3243600	278.389
3247200	278.868
3250800	278.403
3254400	277.172
3258000	277.341
3261600	277.905
3265200	277.457
3268800	277.348
3272400	277.449
3276000	277.433
3279600	277.144
3283200	277.129
3286800	276.934
3290400	276.352
3294000	276.066
3297600	276.093
3301200	276.273
3304800	275.27
3308400	275.178
3312000	275.51
3315600	278.086
3319200	278.398
3322800	279.043
3326400	279.244
3330000	279.354
3333600	279.463
3337200	279.062
3340800	278.83
3344400	278.686
3348000	278.496
3351600	278.79
3355200	278.755
3358800	278.662
3362400	278.692
3366000	278.721
3369600	278.646
3373200	278.46
3376800	278.263
3380400	278.174
3384000	278.345
3387600	278.473
3391200	278.625
3394800	279.353
3398400	279.518
3402000	280.612
3405600	280.603
3409200	280.687
3412800	280.852
3416400	280.997
3420000	280.663
3423600	280.462
3427200	280.304
3430800	279.709
3434400	279.338
3438000	279.144
3441600	279.101
3445200	279.01
3448800	278.811
3452400	279.113
3456000	278.935
3459600	278.846
3463200	278.827
3466800	278.654
3470400	278.345
3474000	278.659
3477600	278.868
3481200	278.941
3484800	279.544
3488400	279.907
3492000	280.515
3495600	280.927
3499200	281.284
3502800	281.645
3506400	281.762
3510000	281.817
3513600	281.04
3517200	280.46
3520800	279.539
3524400	278.955
3528000	278.152
3531600	277.452
3535200	277.525
3538800	277.85
3542400	277.697
3546000	276.795
3549600	276.456
3553200	276.156
3556800	276.192
3560400	276.509
3564000	276.361
3567600	276.512
3571200	276.53
3574800	277.283
3578400	277.898
3582000	278.637
3585600	278.931
3589200	278.868
3592800	278.309
3596400	277.966
3600000	277.181
3603600	276.688
3607200	275.246
3610800	274.599
3614400	274.142
3618000	273.999
3621600	274.195
3625200	274.012
3628800	273.451
3632400	273.382
3636000	273.524
3639600	273.473
3643200	273.696
3646800	273.987
3650400	273.879
3654000	274.084
3657600	274.121
3661200	275.346
3664800	276.416
3668400	277.277
3672000	277.855
3675600	278.165
3679200	278.339
3682800	278.001
3686400	277.915
3690000	277.612
3693600	277.705
3697200	277.084
3700800	276.792
3704400	276.558
3708000	276.571
3711600	276.703
3715200	277.102
3718800	277.431
3722400	277.364
3726000	277.446
3729600	277.35
3733200	277.214
3736800	277.086
3740400	277.168
3744000	277.391
3747600	277.418
3751200	277.364
3754800	277.598
3758400	277.953
3762000	278.442
3765600	279.147
3769200	279.482
3772800	279.253
3776400	279.045
3780000	278.823
3783600	278.633
3787200	278.181
3790800	277.233
3794400	276.595
3798000	276.75
3801600	276.514
3805200	276.208
3808800	275.648
3812400	275.225
3816000	274.764
3819600	274.335
3823200	274.113
3826800	274.034
3830400	274.156
3834000	276.583
3837600	278.164
3841200	279.746
3844800	281.547
3848400	282.542
3852000	282.626
3855600	282.036
3859200	280.86
3862800	279.304
3866400	278.24
3870000	277.485
3873600	277.027
3877200	276.286
3880800	275.382
3884400	275.312
3888000	274.948
3891600	274.842
3895200	274.853
3898800	274.394
3902400	274.135
3906000	274.012
3909600	273.995
3913200	273.901
3916800	274.034
3920400	275.977
3924000	276.751
3927600	277.68
3931200	279.398
3934800	281.624
3938400	281.956
3942000	281.155
3945600	280.048
3949200	278.716
3952800	277.461
3956400	277.162
3960000	276.589
3963600	276.587
3967200	275.806
3970800	275.16
3974400	274.949
3978000	275.663
3981600	275.057
3985200	274.521
3988800	274.245
3992400	274.129
3996000	274.109
3999600	274.539
4003200	274.127
4006800	277.0
4010400	279.013
4014000	281.328
4017600	283.104
4021200	283.88
4024800	283.968
4028400	283.317
4032000	281.877
4035600	280.54
4039200	279.725
4042800	279.172
4046400	278.375
4050000	277.635
4053600	276.966
4057200	276.375
4060800	275.495
4064400	275.159
4068000	275.029
4071600	274.733
4075200	274.592
4078800	273.551
4082400	273.043
4086000	272.565
4089600	273.113
4093200	276.589
4096800	278.452
4100400	280.749
4104000	282.247
4107600	283.601
4111200	283.227
4114800	282.579
4118400	281.317
4122000	279.885
4125600	278.909
4129200	278.521
4132800	277.595
4136400	277.346
4140000	276.402
4143600	275.489
4147200	274.961
4150800	274.917
4154400	275.187
4158000	274.585
4161600	274.272
4165200	273.752
4168800	273.418
4172400	272.92
4176000	272.921
4179600	276.322
4183200	277.735
4186800	279.983
4190400	282.378
4194000	282.953
4197600	283.547
4201200	282.579
4204800	281.096
4208400	280.045
4212000	278.83
4215600	277.818
4219200	277.243
4222800	276.931
4226400	276.34
4230000	276.007
4233600	276.72
4237200	276.112
4240800	276.619
4244400	276.456
4248000	277.266
4251600	277.773
4255200	278.298
4258800	278.499
4262400	278.727
4266000	279.964
4269600	280.769
4273200	281.513
4276800	281.872
4280400	281.807
4284000	280.975
4287600	280.164
4291200	280.046
4294800	279.932
4298400	279.864
4302000	279.823
4305600	279.792
4309200	279.878
4312800	279.555
4316400	278.762
4320000	278.071
4323600	278.419
4327200	278.83
4330800	278.76
4334400	278.835
4338000	278.844
4341600	278.828
4345200	278.71
4348800	278.909
4352400	279.553
4356000	280.153
4359600	280.505
4363200	280.91
4366800	281.522
4370400	281.701
4374000	281.656
4377600	280.831
4381200	280.297
4384800	280.063
4388400	279.945
4392000	279.783
4395600	279.721
4399200	279.625
4402800	279.598
4406400	279.679
4410000	279.602
4413600	279.569
4417200	279.724
4420800	279.828
4424400	279.684
4428000	279.705
4431600	279.785
4435200	280.274
4438800	280.775
4442400	281.702
4446000	281.991
4449600	281.829
4453200	283.224
4456800	283.065
4460400	282.551
4464000	282.398
4467600	281.937
4471200	281.646
4474800	281.535
4478400	281.393
4482000	281.186
4485600	280.967
4489200	280.902
4492800	280.844
4496400	280.832
4500000	280.872
4503600	280.96
4507200	280.906
4510800	280.705
4514400	280.653
4518000	280.644
4521600	280.926
4525200	280.759
4528800	281.436
4532400	280.934
4536000	281.361
4539600	280.24
4543200	280.017
4546800	279.372
4550400	278.691
4554000	277.916
4557600	276.883
4561200	276.1
4564800	275.567
4568400	274.69
4572000	274.668
4575600	274.018
4579200	273.81
4582800	273.698
4586400	273.537
4590000	273.26
4593600	272.827
4597200	272.691
4600800	272.56
4604400	272.517
4608000	272.878
4611600	274.399
4615200	275.59
4618800	276.775
4622400	278.136
4626000	279.029
4629600	279.477
4633200	279.044
4636800	277.933
4640400	276.734
4644000	275.644
4647600	274.672
4651200	273.941
4654800	273.939
4658400	273.748
4662000	273.556
4665600	273.319
4669200	273.172
4672800	273.276
4676400	273.266
4680000	273.123
4683600	272.715
4687200	272.75
4690800	272.493
4694400	272.938
4698000	275.133
4701600	276.322
4705200	277.603
4708800	279.295
4712400	281.008
4716000	281.847
4719600	281.956
4723200	281.198
4726800	280.087
4730400	278.979
4734000	277.549
4737600	276.95
4741200	277.31
4744800	275.816
4748400	274.835
4752000	274.948
4755600	275.166
4759200	275.163
4762800	275.106
4766400	275.073
4770000	274.416
4773600	274.256
4777200	274.373
4780800	274.757
4784400	276.372
4788000	277.629
4791600	279.161
4795200	281.277
4798800	283.076
4802400	283.752
4806000	283.504
4809600	282.352
4813200	280.9
4816800	279.954
4820400	278.675
4824000	277.461
4827600	277.483
4831200	277.219
4834800	276.864
4838400	276.714
4842000	276.327
4845600	275.89
4849200	276.289
4852800	276.199
4856400	275.889
4860000	275.795
4863600	275.541
4867200	275.593
4870800	278.887
4874400	279.822
4878000	280.352
4881600	281.848
4885200	283.019
4888800	283.568
4892400	283.4
4896000	282.586
4899600	281.831
4903200	281.2
4906800	281.172
4910400	280.822
4914000	280.188
4917600	279.985
4921200	279.317
4924800	279.105
4928400	279.381
4932000	277.776
4935600	277.639
4939200	276.996
4942800	276.862
4946400	276.201
4950000	275.964
4953600	276.485
4957200	277.615
4960800	278.977
4964400	281.856
4968000	284.091
4971600	286.129
4975200	286.279
4978800	285.896
4982400	284.611
4986000	282.626
4989600	281.543
4993200	280.929
4996800	280.006
5000400	279.008
5004000	279.239
5007600	279.451
5011200	279.653
5014800	280.191
5018400	280.622
5022000	280.626
5025600	280.409
5029200	279.874
5032800	279.475
5036400	279.072
5040000	279.092
5043600	279.707
5047200	280.984
5050800	282.208
5054400	282.801
5058000	283.009
5061600	281.693
5065200	280.951
5068800	280.634
5072400	280.77
5076000	280.754
5079600	280.876
5083200	281.167
5086800	281.072
5090400	280.941
5094000	280.763
5097600	280.789
5101200	280.623
5104800	280.615
5108400	280.549
5112000	280.553
5115600	280.388
5119200	280.351
5122800	280.462
5126400	280.864
5130000	281.212
5133600	280.571
5137200	280.716
5140800	281.323
5144400	281.392
5148000	281.154
5151600	280.775
5155200	280.331
5158800	279.361
5162400	278.584
5166000	277.58
5169600	276.569
5173200	275.643
5176800	274.994
5180400	274.777
5184000	274.731
5187600	274.674
5191200	274.924
5194800	274.667
5198400	274.569
5202000	275.059
5205600	274.775
5209200	274.616
5212800	275.222
5216400	276.364
5220000	279.227
5223600	279.856
5227200	280.164
5230800	280.805
5234400	281.136
5238000	281.594
5241600	281.448
5245200	280.713
5248800	280.106
5252400	279.668
5256000	280.593
5259600	281.109
5263200	281.224
5266800	281.343
5270400	281.651
5274000	281.348
5277600	281.217
5281200	281.351
5284800	281.652
5288400	281.837
5292000	281.78
5295600	281.885
5299200	281.917
5302800	281.793
5306400	282.315
5310000	282.761
5313600	282.636
5317200	283.188
5320800	283.201
5324400	283.257
5328000	283.079
5331600	282.971
5335200	282.826
5338800	282.775
5342400	282.762
5346000	282.728
5349600	282.821
5353200	283.053
5356800	283.144
5360400	282.863
5364000	282.347
5367600	282.302
5371200	281.97
5374800	282.884
5378400	282.927
5382000	282.351
5385600	282.182
5389200	283.505
5392800	282.853
5396400	283.023
5400000	282.937
5403600	281.869
5407200	280.86
5410800	280.449
5414400	279.999
5418000	279.416
5421600	278.583
5425200	278.065
5428800	277.659
5432400	277.491
5436000	277.98
5439600	278.715
5443200	278.846
5446800	278.771
5450400	278.498
5454000	278.048
5457600	277.878
5461200	277.943
5464800	277.665
5468400	277.693
5472000	277.955
5475600	279.088
5479200	279.491
5482800	279.296
5486400	280.201
5490000	280.309
5493600	280.887
5497200	280.522
5500800	280.232
5504400	279.824
5508000	278.414
5511600	278.259
5515200	278.52
5518800	278.009
5522400	277.086
5526000	276.324
5529600	276.223
5533200	276.303
5536800	275.82
5540400	275.59
5544000	275.896
5547600	276.614
5551200	276.96
5554800	278.287
5558400	279.026
5562000	279.512
5565600	281.024
5569200	282.547
5572800	283.433
5576400	284.001
5580000	284.249
5583600	283.44
5587200	283.319
5590800	283.029
5594400	282.799
5598000	282.904
5601600	282.978
5605200	282.874
5608800	282.672
5612400	282.437
5616000	282.528
5619600	282.715
